Wilayah Kereta Api;Jumlah Penumpang Kereta Api (Ribu Orang);;;;;;;;;;;;
;2019;;;;;;;;;;;;
;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November;Desember;
Jabodetabek;27768.00;25305.00;28366.00;28062.00;28369.00;25816.00;29714.00;27651.00;28293.00;29278.00;28563.00;28860.00;
Non Jabodetabek (Jawa);6667.00;5977.00;6702.00;7044.00;6145.00;8445.00;8589.00;6891.00;6322.00;6536.00;6665.00;7850.00;
Jawa (Jabodetabek+Non Jabodetabek);34435.00;31282.00;35068.00;35106.00;34514.00;34261.00;38303.00;34542.00;34615.00;35814.00;35228.00;36710.00;
Sumatera;687.00;617.00;683.00;703.00;588.00;829.00;732.00;647.00;606.00;634.00;649.00;753.00;
Total;35122.00;31899.00;35751.00;35809.00;35102.00;35090.00;39035.00;35189.00;35221.00;36448.00;35877.00;37463.00;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
