Wilayah Kereta Api;Jumlah Penumpang Kereta Api (Ribu Orang);;;;;;;;;;;;
;2020;;;;;;;;;;;;
;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November;Desember;
Jabodetabek;26733.00;25616.00;18548.00;5138.00;5077.00;8591.00;11116.00;11014.00;9678.00;10128.00;11622.00;11330.00;
Non Jabodetabek (Jawa);6740.00;6063.00;4401.00;676.00;399.00;681.00;1089.00;1665.00;1617.00;1640.00;1901.00;1933.00;
Jawa (Jabodetabek+Non Jabodetabek);33472.00;31679.00;22949.00;5813.00;5476.00;9272.00;12205.00;12679.00;11295.00;11768.00;13523.00;13262.00;
Sumatera;658.00;604.00;476.00;85.00;8.00;18.00;33.00;95.00;134.00;169.00;199.00;253.00;
Total;34130.00;32283.00;23425.00;5898.00;5484.00;9290.00;12238.00;12774.00;11429.00;11937.00;13722.00;13515.00;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
