Location;Total Cases
Aceh;1008599
Bali;2079115
Banten;1791368
Bengkulu;271509
DKI Jakarta;19418642
Daerah Istimewa Yogyakarta;956492
Gorontalo;518033
Jambi;262900
Jawa Barat;7563014
Jawa Tengah;7518212
Jawa Timur;10319312
Kalimantan Barat;325314
Kalimantan Selatan;2231980
Kalimantan Tengah;977797
Kalimantan Timur;2553405
Kalimantan Utara;278644
Kepulauan Bangka Belitung;178559
Kepulauan Riau;672865
Lampung;477465
Maluku;680470
Maluku Utara;441750
Nusa Tenggara Barat;793446
Nusa Tenggara Timur;174617
Papua;1587116
Papua Barat;627619
Riau;2306997
Sulawesi Barat;201907
Sulawesi Selatan;3772162
Sulawesi Tengah;270672
Sulawesi Tenggara;830973
Sulawesi Utara;1124505
Sumatera Barat;2257511
Sumatera Selatan;1498204
Sumatera Utara;2275494
