Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,,
1/3/2020,ID-JK,DKI Jakarta,2,0,0,2,489,20,39,430,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:18,45:09:00,0:00,0,1,4.09%,7.98%,,,
2/3/2020,ID-JK,DKI Jakarta,2,0,0,2,491,20,39,432,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:18,45:27:00,0:00,0,1,4.07%,7.94%,1:00,,
2/3/2020,IDN,Indonesia,2,0,0,2,2,0,0,2,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:01,0:01,0:00,0:00,0.00%,0.00%,,,,
2/3/2020,ID-JB,Jawa Barat,3,0,0,3,12,5,135,-128,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:07,0:27,0:00,0:11,41.67%,1125.00%,,,,
2/3/2020,ID-RI,Riau,1,0,0,1,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:16,0:33,0:00,0:16,50.00%,50.00%,,,,
3/3/2020,ID-JK,DKI Jakarta,2,0,0,2,493,20,39,434,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:18,45:45:00,0:00,0,1,4.06%,7.91%,1:00,,
3/3/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:00,0:01,0:00,0:00,0.00%,0.00%,0:00,1:00,,
3/3/2020,ID-JB,Jawa Barat,1,1,0,0,13,6,135,-128,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:02,0:29,0:02,0:13,46.15%,1038.46%,0:33,,,
3/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,0:00,1:00,,
4/3/2020,ID-JK,DKI Jakarta,2,0,0,2,495,20,39,436,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:18,45.64,0:00,0,1,4.04%,7.88%,1:00,,
4/3/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:00,0:01,0:00,0:00,0.00%,0.00%,1:00,1:00,,
4/3/2020,ID-JB,Jawa Barat,1,0,0,1,14,6,135,-127,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:02,0:31,0:00,0:13,42.86%,964.29%,1:00,0:00,,
4/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,1:00,1:00,,
5/3/2020,ID-JK,DKI Jakarta,0,1,0,-1,495,21,39,435,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:00,45.64,0:09,0,106944444,4.24%,7.88%,0:00,,
5/3/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:00,0:01,0:00,0:00,0.00%,0.00%,1:00,1:00,,
5/3/2020,ID-JB,Jawa Barat,1,0,0,1,15,6,135,-126,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:02,0:33,0:00,0:13,40.00%,900.00%,1:00,1:00,,
5/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,1:00,1:00,,
6/3/2020,ID-BT,Banten,1,0,0,1,59,1,72,-14,Province,Banten,Indonesia,Asia,Jawa,UTC+07:00,4,4,155,313,1238,9663,10722374,1109.64,"1,061,090,043","-6,456,736,388",0:09,5:50,0:00,0:09,1.69%,122.03%,,,,
6/3/2020,ID-JK,DKI Jakarta,0,0,0,0,495,21,39,435,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:00,45.64,0:00,0,106944444,4.24%,7.88%,1:00,,
6/3/2020,IDN,Indonesia,2,0,0,2,4,0,0,4,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:01,0:02,0:00,0:00,0.00%,0.00%,,1:00,,
6/3/2020,ID-JB,Jawa Barat,1,0,0,1,16,6,135,-125,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:02,0:35,0:00,0:13,37.50%,843.75%,1:00,1:00,,
6/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,1:00,1:00,,
7/3/2020,ID-BT,Banten,0,0,0,0,59,1,72,-14,Province,Banten,Indonesia,Asia,Jawa,UTC+07:00,4,4,155,313,1238,9663,10722374,1109.64,"1,061,090,043","-6,456,736,388",0:00,5:50,0:00,0:09,1.69%,122.03%,0:00,1:00,,
7/3/2020,ID-JK,DKI Jakarta,0,2,0,-2,495,23,39,433,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:00,45.64,0:18,2:12,4.65%,7.88%,1:00,,,
7/3/2020,IDN,Indonesia,0,0,0,0,4,0,0,4,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:00,0:02,0:00,0:00,0.00%,0.00%,0:00,1:00,,
7/3/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,135,-125,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:00,0:35,0:00,0:13,37.50%,843.75%,0:00,1:00,,
7/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,1:00,1:00,,
8/3/2020,ID-BT,Banten,1,0,0,1,60,1,72,-13,Province,Banten,Indonesia,Asia,Jawa,UTC+07:00,4,4,155,313,1238,9663,10722374,1109.64,"1,061,090,043","-6,456,736,388",0:09,0,25,0:00,0:09,1.67%,120.00%,,,
8/3/2020,ID-JK,DKI Jakarta,0,0,0,0,495,23,39,433,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:00,45.64,0:00,2:12,4.65%,7.88%,1:00,0:00,,
8/3/2020,IDN,Indonesia,2,0,0,2,6,0,0,6,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:01,0:02,0:00,0:00,0.00%,0.00%,,1:00,,
8/3/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,135,-125,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:00,0:35,0:00,0:13,37.50%,843.75%,1:00,1:00,,
8/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,1:00,1:00,,
9/3/2020,ID-BT,Banten,0,0,0,0,60,1,72,-13,Province,Banten,Indonesia,Asia,Jawa,UTC+07:00,4,4,155,313,1238,9663,10722374,1109.64,"1,061,090,043","-6,456,736,388",0:00,0,25,0:00,0:09,1.67%,120.00%,0:00,,
9/3/2020,ID-JK,DKI Jakarta,0,1,0,-1,495,24,39,432,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:00,45.64,0:09,2:21,4.85%,7.88%,1:00,,,
9/3/2020,IDN,Indonesia,13,0,0,13,19,0,0,19,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:05,0:07,0:00,0:00,0.00%,0.00%,6:50,1:00,,
9/3/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,135,-125,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:00,0:35,0:00,0:13,37.50%,843.75%,1:00,1:00,,
9/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,1:00,1:00,,
10/3/2020,ID-BT,Banten,0,0,0,0,60,1,72,-13,Province,Banten,Indonesia,Asia,Jawa,UTC+07:00,4,4,155,313,1238,9663,10722374,1109.64,"1,061,090,043","-6,456,736,388",0:00,0,25,0:00,0:09,1.67%,120.00%,1:00,,
10/3/2020,ID-JK,DKI Jakarta,0,0,0,0,495,24,39,432,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:00,45.64,0:00,2:21,4.85%,7.88%,1:00,0:00,,
10/3/2020,IDN,Indonesia,8,0,2,6,27,0,2,25,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:03,0:10,0:00,0:00,0.00%,7.41%,0,43055556,,
10/3/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,135,-125,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276:55:00,"1,076,037,083","-6,920,432,083",0:00,0:35,0:00,0:13,37.50%,843.75%,1:00,1:00,,
10/3/2020,ID-RI,Riau,0,0,0,0,2,1,1,0,Province,Riau,Indonesia,Asia,Sumatera,UTC+07:00,10,2,169,268,1591,87024,6074100,69.80,"1,018,051,092",0.511647851,0:00,0:33,0:00,0:16,50.00%,50.00%,1:00,1:00,,
10/3/2020,ID-SG,Sulawesi Tenggara,1,0,0,1,1,1,0,0,Province,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,15,2,219,377,1911,38068,2635461,69:23:00,"122,070,311","-4,124,688,793",0:38,0:38,0:00,0:38,100.00%,0.00%,,,,
11/3/2020,ID-BT,Banten,0,0,0,0,60,1,72,-13,Province,Banten,Indonesia,Asia,Jawa,UTC+07:00,4,4,155,313,1238,9663,10722374,1109.64,"1,061,090,043","-6,456,736,388",0:00,0,25,0:00,0:09,1.67%,120.00%,1:00,,
11/3/2020,ID-JK,DKI Jakarta,0,0,0,0,495,24,39,432,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,,664,10846145,16334.31,"1,068,361,183","-6,204,698,991",0:00,45.64,0:00,2:21,4.85%,7.88%,1:00,1:00,,
11/3/2020,IDN,Indonesia,7,1,0,6,34,1,2,31,Country,,Indonesia,Asia,,,416,98,7230,8488,74953,1916907,265185520,138:34:00,"113,921,327",-0.789275,0:03,0:13,0:00,0:00,2.94%,5.88%,0,61111111,,
